stop_id,stop_code,stop_name,stop_lat,stop_lon,ars_id,stop_uid,stop_type,in_dongdaemun
06106,06106,제기역약령시장,37.5780535,127.0368349,06106,105000023,일반차로,1
06107,06107,신설동역1번출구,37.5766303,127.0233167,06107,105000552,일반차로,1
06112,06112,청량리미주상가앞,37.5818902,127.047678,06112,105000028,가로변전일,1
06113,06113,서울성심병원,37.5843924,127.0502443,06113,105000029,일반차로,1
06114,06114,서울성심병원,37.5846075,127.0508977,06114,105000030,가로변시간,1
06115,06115,시조사,37.5868488,127.0522796,06115,105000031,일반차로,1
06117,06117,휘경동입구,37.5876645,127.0552071,06117,105000033,가로변시간,1
06118,06118,삼육서울병원,37.5897656,127.0606123,06118,105000034,일반차로,1
06120,06120,래미안라그란데아파트,37.6004425,127.06192,06120,105000566,일반차로,1
06121,06121,중랑교,37.5911444,127.0664307,06121,105000037,일반차로,1
06122,06122,회기시장,37.5912026,127.0566389,06122,105000038,일반차로,1
06123,06123,회기시장,37.590806,127.056588,06123,105000039,일반차로,1
06124,06124,경희중고,37.5929228,127.0577445,06124,105000040,일반차로,1
06125,06125,경희중고,37.5933473,127.0583347,06125,105000041,일반차로,1
06126,06126,외대앞,37.5956282,127.0596059,06126,105000042,일반차로,1
06127,06127,외대앞,37.5954813,127.0597678,06127,105000043,일반차로,1
06128,06128,이문동우체국,37.598348,127.061338,06128,105000044,일반차로,1
06129,06129,이문동교회,37.599973,127.062091,06129,105000045,일반차로,1
06130,06130,의릉입구,37.603888,127.061963,06130,105000046,일반차로,1
06131,06131,의릉입구,37.6034853,127.0621764,06131,105000047,일반차로,1
06132,06132,한천로쌍용아파트앞,37.5981911,127.0676193,06132,105000048,일반차로,1
06133,06133,한천로쌍용아파트앞,37.5986649,127.067887,06133,105000049,일반차로,1
06134,06134,이문동삼익아파트,37.5945486,127.0682139,06134,105000050,일반차로,1
06135,06135,이문동삼익아파트,37.5951035,127.0683628,06135,105000051,일반차로,1
06136,06136,동일스위트리버아파트.휘봉고교,37.5877988,127.0677526,06136,105000052,일반차로,1
06137,06137,휘경유수지견인차고지앞,37.58842,127.068577,06137,105000053,일반차로,1
06138,06138,답십리래미안엘파인아파트,37.5756772,127.0673309,06138,105000560,일반차로,1
06139,06139,래미안엘파인아파트.장안동성당,37.575593,127.06758,06139,105000567,일반차로,1
06140,06140,서울준법지원센터.동성빌라,37.5855553,127.0673893,06140,105000054,일반차로,1
06141,06141,서울준법지원센터.동성빌라,37.5856795,127.0676702,06141,105000055,일반차로,1
06142,06142,휘경여중고.휘경주공아파트앞,37.5826031,127.0682825,06142,105000056,일반차로,1
06143,06143,휘경여중고.휘경주공아파트,37.5821575,127.0685434,06143,105000057,일반차로,1
06144,06144,장안동현대아파트앞,37.5797462,127.0685412,06144,105000058,일반차로,1
06145,06145,전곡시장앞,37.5772371,127.0677951,06145,105000059,일반차로,1
06146,06146,전곡시장앞,37.5773293,127.068142,06146,105000060,일반차로,1
06147,06147,촬영소사거리.우성그린아파트,37.5741909,127.0668513,06147,105000061,일반차로,1
06148,06148,촬영소사거리.우성그린아파트,37.5735107,127.0669165,06148,105000062,일반차로,1
06149,06149,동답초등학교,37.5710398,127.065489,06149,105000063,일반차로,1
06150,06150,동답한신.동아아파트,37.5696221,127.0641135,06150,105000064,일반차로,1
06151,06151,동답한신.동아아파트,37.5688816,127.0639045,06151,105000065,일반차로,1
06152,06152,동아.위더스빌아파트,37.5667403,127.0622143,06152,105000066,일반차로,1
06153,06153,답십리2동주민센터,37.566603,127.06181,06153,105000067,일반차로,1
06154,06154,하나은행장안동지점,37.5634036,127.0585565,06154,105000068,일반차로,1
06155,06155,장한평역4번출구,37.5613115,127.0671377,06155,105000069,일반차로,1
