busRouteId,rtNm,seq,stId,arsId,stationNm,stop_lon,stop_lat,direction,trnstnid
100100047,271,103,105000488,06426,청량리수산시장,127.0418950942,37.5789521614,용마문화복지센터,113000181
100100047,271,104,105000446,06019,청량리역환승센터,127.045721,37.580304,용마문화복지센터,113000181
100100047,271,105,105000030,06114,서울성심병원,127.0508977332,37.5846074691,용마문화복지센터,113000181
100100047,271,106,105000033,06117,휘경동입구,127.055203,37.587663,용마문화복지센터,113000181
100100047,271,107,105000012,06012,삼육서울병원.삼육보건대학교,127.0619514091,37.589992454,용마문화복지센터,113000181
100100047,271,108,105000010,06010,중랑교,127.066835,37.591426,용마문화복지센터,113000181
100100047,271,109,106000050,07144,서울우유앞,127.072817,37.592108,용마문화복지센터,113000181
100100047,271,110,106000052,07146,중랑초등학교,127.074318,37.58932,용마문화복지센터,113000181
100100047,271,111,106000054,07148,동부시장남문입구,127.077666,37.59043,용마문화복지센터,113000181
100100047,271,112,106000056,07150,88병원,127.0808960477,37.5913119461,용마문화복지센터,113000181
100100047,271,113,106000058,07152,중랑구시설관리공단,127.083885,37.592028,용마문화복지센터,113000181
100100047,271,114,106000060,07154,면목6거리,127.087857,37.59288,용마문화복지센터,113000181
100100047,271,115,106000062,07156,상봉신협,127.0899024613,37.5933652483,용마문화복지센터,113000181
100100047,271,116,106000064,07158,혜원사거리,127.092532,37.59388,용마문화복지센터,113000181
100100047,271,117,106000066,07160,혜원여중고입구,127.09505,37.594427,용마문화복지센터,113000181
100100047,271,118,106000068,07162,봉우재고개,127.097837,37.595025,용마문화복지센터,113000181
100100047,271,119,106000070,07164,우림시장,127.09954,37.595398,용마문화복지센터,113000181
100100047,271,120,106000096,07190,용마공원입구,127.099292,37.594253,용마문화복지센터,113000181
100100047,271,121,106000098,07192,면일초등학교,127.097627,37.591217,용마문화복지센터,113000181
100100047,271,122,106000099,07193,서일대학교,127.0967,37.58951,용마문화복지센터,113000181
100100047,271,123,106000102,07196,용마문화복지센터.서일대후문,127.095167,37.586712,용마문화복지센터,113000181
100100048,272,1,106000089,07183,방약국앞,127.0858494168,37.5757745627,남가좌동,112000147
100100048,272,2,106000087,07181,면목7동주민센터.면남초등학교,127.0863248288,37.5786342777,남가좌동,112000147
100100048,272,3,106000084,07178,사가정역.국민건강보험공단중랑지사,127.0880662837,37.5798599612,남가좌동,112000147
100100048,272,4,106000082,07176,면목우체국.녹색병원,127.0887178358,37.5820548439,남가좌동,112000147
