ars_id,busRouteId,rtNm
06298,100100204,2233
06298,111000017,N72
06299,100100179,1222
06300,100100179,1222
06301,100100049,273
06301,100100425,1122
06302,100100049,273
06302,100100425,1122
06304,100000025,동대문A01
06304,100100188,2013
06304,100100190,2015
06304,100100203,2230
06304,100100204,2233
06304,111000017,N72
06308,100100191,2112
06308,100100204,2233
06309,100100049,273
06309,100100188,2013
06309,100100191,2112
06309,100100599,2311
06310,100100026,147
06310,100100039,202
06310,100100595,241
06310,100100130,1017
06313,100100191,2112
06314,100100191,2112
06315,105900001,동대문05
06315,100100017,120
06315,100100181,1224
06315,100100184,1227
06315,100100215,3216
06318,100100049,273
06320,100100017,120
06320,100100026,147
06320,100100043,261
06320,100100179,1222
06320,100100215,3216
06320,100100593,N13
06321,100100017,120
06321,100100026,147
06321,100100038,201
06321,100100043,261
06321,100100179,1222
06321,100100593,N13
06322,105900006,동대문03
06322,100100024,145
06322,100100177,1218
06322,100100188,2013
06322,100100194,2211
06322,100100599,2311
06330,105900001,동대문05
06330,100100184,1227
06335,100100111,720
06349,105900001,동대문05
06349,100100184,1227
06356,100100044,262
06356,100100191,2112
06356,100100194,2211
06356,100100204,2233
06357,105900001,동대문05
06357,100100184,1227
06358,106900001,중랑01
06358,100100425,1122
06358,111000019,2236
06359,106900001,중랑01
06359,111000019,2236
06416,100100194,2211
06417,105900006,동대문03
06417,100100024,145
06417,100100177,1218
06417,100100194,2211
06417,100100204,2233
06418,100100583,121
06418,100100038,201
06418,100100175,1213
06418,100100179,1222
06418,100100181,1224
06418,100100184,1227
06418,100100598,2115
06419,100100204,2233
06422,105900006,동대문03
06422,100100194,2211
06422,236000149,3200포천
06423,100100188,2013
06423,100100599,2311
06424,100100017,120
06425,100100198,2221
06426,100100010,105
06426,100100017,120
