route_id,service_id,trip_id,direction_id
100100048,SER_20260912,100100048_106024122_53_d1,1
100100048,SER_20260912,100100048_106024125_49_d0,0
100100048,SER_20260912,100100048_106024125_49_d1,1
100100048,SER_20260912,100100048_106024128_152_d0,0
100100048,SER_20260912,100100048_106024128_152_d1,1
100100048,SER_20260912,100100048_106024128_218_d0,0
100100048,SER_20260912,100100048_106024128_218_d1,1
100100048,SER_20260912,100100048_106024166_44_d0,0
100100048,SER_20260912,100100048_106024166_44_d1,1
100100048,SER_20260912,100100048_106024240_155_d1,1
100100048,SER_20260912,100100048_106024240_200_d0,0
100100048,SER_20260912,100100048_106024240_200_d1,1
100100048,SER_20260912,100100048_106024241_182_d0,0
100100048,SER_20260912,100100048_106024241_182_d1,1
100100048,SER_20260912,100100048_106024316_151_d0,0
100100048,SER_20260912,100100048_106024316_151_d1,1
100100048,SER_20260912,100100048_106024316_217_d0,0
100100048,SER_20260912,100100048_106024316_217_d1,1
100100048,SER_20260912,100100048_106024316_248_d0,0
100100048,SER_20260912,100100048_106024320_238_d0,0
100100048,SER_20260912,100100048_106024320_238_d1,1
100100048,SER_20260912,100100048_106024320_50_d0,0
100100048,SER_20260912,100100048_106024320_50_d1,1
100100048,SER_20260912,100100048_106024360_149_d0,0
100100048,SER_20260912,100100048_106024360_149_d1,1
100100048,SER_20260912,100100048_106024360_224_d0,0
100100048,SER_20260912,100100048_106024360_224_d1,1
100100048,SER_20260912,100100048_106024360_256_d0,0
100100048,SER_20260912,100100048_106024360_56_d1,1
100100048,SER_20260912,100100048_106024362_32_d0,0
100100048,SER_20260912,100100048_106024362_32_d1,1
100100048,SER_20260912,100100048_106024364_41_d0,0
100100048,SER_20260912,100100048_106024364_41_d1,1
100100048,SER_20260912,100100048_106024365_45_d0,0
100100048,SER_20260912,100100048_106024365_45_d1,1
100100048,SER_20260912,100100048_106024382_154_d0,0
100100048,SER_20260912,100100048_106024382_154_d1,1
100100048,SER_20260912,100100048_106024382_210_d0,0
100100048,SER_20260912,100100048_106024382_210_d1,1
100100048,SER_20260912,100100048_106024490_205_d0,0
100100048,SER_20260912,100100048_106024490_205_d1,1
100100048,SER_20260912,100100048_106024490_33_d0,0
100100048,SER_20260912,100100048_106024490_33_d1,1
100100048,SER_20260912,100100048_106024513_195_d0,0
100100048,SER_20260912,100100048_106024513_195_d1,1
100100048,SER_20260912,100100048_106024513_42_d0,0
100100048,SER_20260912,100100048_106024513_42_d1,1
100100048,SER_20260912,100100048_106024514_237_d0,0
100100048,SER_20260912,100100048_106024514_237_d1,1
100100048,SER_20260912,100100048_106024514_51_d0,0
100100048,SER_20260912,100100048_106024514_51_d1,1
100100048,SER_20260912,100100048_106024517_52_d0,0
100100048,SER_20260912,100100048_106024517_52_d1,1
100100048,SER_20260912,100100048_106024535_40_d0,0
100100048,SER_20260912,100100048_106024535_40_d1,1
100100048,SER_20260912,100100048_106024542_225_d0,0
100100048,SER_20260912,100100048_106024542_225_d1,1
100100048,SER_20260912,100100048_106024542_251_d0,0
100100048,SER_20260912,100100048_106024542_57_d0,0
100100048,SER_20260912,100100048_106024542_57_d1,1
100100048,SER_20260912,100100048_106024543_173_d0,0
100100048,SER_20260912,100100048_106024543_173_d1,1
100100048,SER_20260912,100100048_106024543_229_d0,0
100100048,SER_20260912,100100048_106024543_229_d1,1
100100048,SER_20260912,100100048_106024543_55_d1,1
100100048,SER_20260912,100100048_106024553_153_d0,0
100100048,SER_20260912,100100048_106024553_153_d1,1
100100048,SER_20260912,100100048_106024553_209_d0,0
100100048,SER_20260912,100100048_106024553_209_d1,1
100100049,SER_20260912,100100049_106061026_172_d0,0
100100049,SER_20260912,100100049_106061026_172_d1,1
100100049,SER_20260912,100100049_106061026_212_d0,0
100100049,SER_20260912,100100049_106061026_212_d1,1
100100049,SER_20260912,100100049_106061028_127_d0,0
100100049,SER_20260912,100100049_106061028_127_d1,1
100100049,SER_20260912,100100049_106061110_135_d0,0
100100049,SER_20260912,100100049_106061110_135_d1,1
100100049,SER_20260912,100100049_106061133_132_d0,0
100100049,SER_20260912,100100049_106061133_132_d1,1
100100049,SER_20260912,100100049_106061165_123_d0,0
100100049,SER_20260912,100100049_106061165_123_d1,1
100100049,SER_20260912,100100049_106061178_138_d0,0
